Div;DateInt;DateStr;HomeTeam;AwayTeam;FTHG;FTAG;FTR;B365H;B365D;B365A
F1;20141018;2014-10-18;Nice;Bastia;0;1;A;2.05;3.2;3.8
F1;20141019;2014-10-19;Bordeaux;Caen;1;1;D;1.95;3.3;4
F1;20141019;2014-10-19;Lyon;Montpellier;5;1;H;1.73;3.5;5
F1;20141019;2014-10-19;Marseille;Toulouse;2;0;H;1.67;3.6;5.25
F1;20141024;2014-10-24;Toulouse;Lens;0;2;A;1.57;3.6;6.5
F1;20141025;2014-10-25;Bastia;Monaco;1;3;A;3.6;3.25;2.1
F1;20141025;2014-10-25;Caen;Lorient;2;1;H;1.91;3.4;4
F1;20141025;2014-10-25;Evian Thonon Gaillard;Nantes;0;2;A;2.5;3.2;2.88
F1;20141025;2014-10-25;Paris SG;Bordeaux;3;0;H;1.4;4.6;7.5
F1;20141025;2014-10-25;Reims;Montpellier;1;0;H;2.63;3.1;2.8
F1;20141026;2014-10-26;Guingamp;Nice;2;7;A;2.2;3.1;3.5
F1;20141026;2014-10-26;Lyon;Marseille;1;0;H;2.4;3.3;2.88
F1;20141026;2014-10-26;Rennes;Lille;2;0;H;2.5;3.2;2.8
F1;20141026;2014-10-26;St Etienne;Metz;1;0;H;1.57;3.6;6.5
F1;20141031;2014-10-31;Monaco;Reims;1;1;D;1.44;4.2;7.5
F1;20141101;2014-11-01;Guingamp;Bastia;1;0;H;2.05;3.2;3.75
F1;20141101;2014-11-01;Lille;St Etienne;1;1;D;2.5;3;3
F1;20141101;2014-11-01;Lorient;Paris SG;1;2;A;7;4.33;1.44
F1;20141101;2014-11-01;Metz;Caen;3;2;H;2.5;3.2;2.88
F1;20141101;2014-11-01;Montpellier;Evian Thonon Gaillard;2;0;H;2;3.2;4
F1;20141101;2014-11-01;Nice;Lyon;1;3;A;3.3;3.1;2.3
F1;20141102;2014-11-02;Bordeaux;Toulouse;2;1;H;2.25;3.25;3.2
F1;20141102;2014-11-02;Marseille;Lens;2;1;H;1.25;5.25;13
F1;20141102;2014-11-02;Nantes;Rennes;1;1;D;2.05;3.2;3.75
F1;20141107;2014-11-07;Rennes;Lorient;1;0;H;2;3.2;4
F1;20141108;2014-11-08;Bastia;Montpellier;2;0;H;2.5;3;3
F1;20141108;2014-11-08;Caen;Nantes;1;2;A;2.38;3.1;3.1
F1;20141108;2014-11-08;Evian Thonon Gaillard;Nice;1;0;H;2.4;3.1;3.1
F1;20141108;2014-11-08;Lens;Bordeaux;1;2;A;3.5;3.25;2.1
F1;20141108;2014-11-08;Toulouse;Metz;3;0;H;1.65;3.6;5.5
F1;20141109;2014-11-09;Lyon;Guingamp;3;1;H;1.5;4;7
F1;20141109;2014-11-09;Paris SG;Marseille;2;0;H;1.62;3.75;5.5
F1;20141109;2014-11-09;Reims;Lille;2;0;H;3.75;3.1;2.1
F1;20141109;2014-11-09;St Etienne;Monaco;1;1;D;2.25;3.2;3.2
