DateListe,Saison,Equipe,TRJmoy,ROI,Nbrdematchs,MoyCoteResultat,ROI-10J,ROI-5J,ROI-3J,ROI-2J,ROIJJ-1,ROIJ,CoteJ,CoteInvJ
20240512,2324,Paris SG,94.83288055452684,0.9475,32,1.5074999999999998,0.7890001,0.9780002,0.9466669999999999,0.7000005,5.000000000165983e-07,0.0,1.4,2.936170212765958
20240427,2324,Paris SG,94.8339792054833,0.9780645161290322,31,1.5109677419354832,0.9510001,1.2780002,0.9466669999999999,1.4200004999999998,0.7000005,0.0,1.33,3.2547169811320757
20240424,2324,Paris SG,94.84786298768837,1.0106666666666666,30,1.5169999999999995,0.9610001,0.9980002,1.1633336666666665,0.7200005,1.4200004999999998,1.4,1.4,2.9999999999999996
20240421,2324,Paris SG,94.82694290262434,0.9972413793103448,29,1.5210344827586202,0.8170001,0.7100002,1.1833336666666665,1.0250005,0.7200005,1.44,1.44,2.8000000000000003
20240406,2324,Paris SG,94.81739301976657,0.9814285714285714,28,1.523928571428571,1.0020001,0.7100002,1.1833336666666665,1.7750005,1.0250005,0.0,1.18,4.800000000000001
20240331,2324,Paris SG,94.82115872184885,1.0177777777777777,27,1.5366666666666662,0.9110001,0.6000002,0.5000003333333334,0.7500005000000001,1.7750005,2.05,2.05,1.7517730496453903
20240317,2324,Paris SG,94.83506974714406,0.9780769230769231,26,1.5169230769230766,0.7610001,0.6240002,3.3333333324965984e-07,5.000000000165983e-07,0.7500005000000001,1.5,1.5,2.5714285714285716
20240310,2324,Paris SG,94.8389988528193,0.9572,25,1.5175999999999996,0.8810001,0.9240002,0.5000003333333334,5.000000000165983e-07,5.000000000165983e-07,0.0,1.4,2.9166666666666665
20240301,2324,Paris SG,94.84918236357866,0.9970833333333333,24,1.5224999999999997,1.0110001,0.9240002,1.0400003333333334,0.7500005000000001,5.000000000165983e-07,0.0,2.0,1.7944444444444445
20240225,2324,Paris SG,94.86076754114082,1.0404347826086957,23,1.501739130434783,1.1560001,1.2940002,1.5400003333333332,1.5600005000000001,0.7500005000000001,0.0,1.45,2.8297872340425534
20240217,2324,Paris SG,94.81472397141683,1.0877272727272727,22,1.5040909090909091,1.1660001,1.2220001999999999,1.0400003333333334,1.5600005000000001,1.5600005000000001,1.5,1.5,2.5714285714285716
20240210,2324,Paris SG,94.81843263170985,1.068095238095238,21,1.5042857142857142,1.1290001,0.8980001999999999,1.116667,0.7500005000000001,1.5600005000000001,1.62,1.62,2.3333333333333335
20240202,2324,Paris SG,94.77857854660058,1.0405,20,1.4985,1.1320001,0.8380002,0.9966670000000001,0.9250005,0.7500005000000001,1.5,1.5,2.5714285714285716
20240128,2324,Paris SG,94.78077520140782,1.0163157894736843,19,1.4984210526315789,1.2540001,1.0980002,0.996667,1.4950005,0.9250005,0.0,1.36,3.173076923076923
20240114,2324,Paris SG,94.7576131471994,1.0727777777777778,18,1.5061111111111112,1.2740001,1.0180002,0.7800003333333333,0.5700004999999999,1.4950005,1.85,1.85,1.894736842105263
20231220,2324,Paris SG,94.82541040686063,1.0270588235294118,17,1.4858823529411764,1.1600001,1.1100002,0.8333336666666666,0.6000005,0.5700004999999999,1.14,1.14,5.4399999999999995
20231217,2324,Paris SG,94.86142104969063,1.02,16,1.5074999999999998,1.3220001,1.3600002,1.3166669999999998,1.2500005,0.6000005,0.0,1.83,1.948717948717949
20231209,2324,Paris SG,94.89386891112463,1.088,15,1.4860000000000002,1.2020001,1.4260002,1.4500003333333333,1.3750004999999998,1.2500005,1.2,1.2,4.615384615384615
20231203,2324,Paris SG,94.86928131634102,1.08,14,1.5064285714285717,1.2220001,1.4100002,1.4333336666666665,1.5250005,1.3750004999999998,1.3,1.3,3.5538461538461537
20231124,2324,Paris SG,94.84520677173676,1.063076923076923,13,1.5223076923076926,1.2370001,1.5300002,1.4600003333333333,1.4250005,1.5250005,1.45,1.45,2.7444444444444445
20231111,2324,Paris SG,94.84279298726227,1.0308333333333333,12,1.5283333333333335,1.0770001,1.2100001999999999,1.3333336666666666,1.3900005,1.4250005,1.6,1.6,2.320471596998928
20231103,2324,Paris SG,94.85561659680421,0.9790909090909091,11,1.521818181818182,0.9520001,1.2840002,1.6000003333333332,1.3750004999999998,1.3900005,1.25,1.25,3.75
20231029,2324,Paris SG,94.96617825648465,0.952,10,1.549,0.0,0.9780002,1.0900003333333332,1.6350004999999999,1.3750004999999998,1.53,1.53,2.4699900793650795
20231021,2324,Paris SG,95.02049196781064,0.8877777777777778,9,1.551111111111111,0.0,1.0340002,1.2233336666666665,1.0250005,1.6350004999999999,1.22,1.22,4.216216216216217
20231008,2324,Paris SG,95.07047068562251,0.84625,8,1.5925,0.0,0.9440002000000001,0.5400003333333333,0.8100005000000001,1.0250005,2.05,2.05,1.7485714285714287
20230930,2324,Paris SG,95.17106605192942,0.6742857142857143,7,1.5271428571428571,0.0,0.9440002000000001,1.0400003333333334,0.8100005000000001,0.8100005000000001,0.0,1.44,2.8125000000000004
20230924,2324,Paris SG,95.15989452090177,0.7866666666666666,6,1.5416666666666667,0.0,0.6200002,1.0333336666666668,0.7500005000000001,0.8100005000000001,1.62,1.62,2.3333333333333335
20230915,2324,Paris SG,95.06877055830303,0.62,5,1.526,0.0,0.0,1.0333336666666666,1.5500005,0.7500005000000001,0.0,1.55,2.475
20230903,2324,Paris SG,95.00832344632599,0.775,4,1.52,0.0,0.0,0.5333336666666667,0.8000005,1.5500005,1.5,1.5,2.6511627906976747
20230826,2324,Paris SG,94.74499148585761,0.5333333333333333,3,1.5266666666666666,0.0,0.0,0.0,5.000000000165983e-07,0.8000005,1.6,1.6,2.381443298969072
20230819,2324,Paris SG,94.26663274924215,0.0,2,1.49,0.0,0.0,0.0,0.0,5.000000000165983e-07,0.0,1.65,2.229050279329609
20230812,2324,Paris SG,93.71797061838059,0.0,1,1.33,0.0,0.0,0.0,0.0,0.0,0.0,1.33,3.173076923076923
20240519,2324,Toulouse,94.92879985433059,1.2105882352941177,34,3.6744117647058823,1.8410001,2.5420002,2.7933336666666664,2.8750005,2.8750005,0.0,4.0,1.261061946902655
20240512,2324,Toulouse,94.90000924920786,1.2472727272727273,33,3.664545454545454,1.6860001,1.3920002,0.8766669999999999,1.3150004999999998,2.8750005,5.75,5.75,1.135135135135135
20240503,2324,Toulouse,94.90317133903068,1.1065625,32,3.5993749999999998,2.3360001,1.8520002,2.320000333333333,1.3150004999999998,1.3150004999999998,0.0,2.05,1.7661971830985916
20240428,2324,Toulouse,94.904006426365,1.142258064516129,31,3.649354838709677,2.0730001000000002,1.3260002,1.4433336666666665,2.1650004999999997,1.3150004999999998,2.63,2.63,1.4733333333333332
20240421,2324,Toulouse,94.91973434163323,1.0926666666666667,30,3.6833333333333327,2.5480001000000003,1.3260002,2.2100003333333333,2.1650004999999997,2.1650004999999997,0.0,2.7,1.4384615384615382
20240413,2324,Toulouse,94.95670505537497,1.130344827586207,29,3.717241379310344,2.1150001,1.1400002,0.7666669999999999,1.1500005,2.1650004999999997,4.33,4.33,1.2
20240407,2324,Toulouse,94.99229391456008,1.0160714285714285,28,3.695357142857142,2.3600001,1.9800001999999999,0.7666669999999999,1.1500005,1.1500005,0.0,2.05,1.7746478873239437
20240331,2324,Toulouse,94.98754169138296,1.0537037037037038,27,3.756296296296296,2.1300001,2.8200002,1.1333336666666667,5.000000000165983e-07,1.1500005,2.3,2.3,1.6215384615384616
20240315,2324,Toulouse,94.98306397419879,1.0057692307692307,26,3.8123076923076917,2.1300001,2.8200002,2.5333336666666666,1.7000004999999998,5.000000000165983e-07,0.0,2.88,1.4344827586206896
20240310,2324,Toulouse,94.95220750503375,1.046,25,3.8495999999999997,2.1300001,3.7700002,4.700000333333334,3.8000005,1.7000004999999998,0.0,2.63,1.471186440677966
20240303,2324,Toulouse,94.97755252886469,1.0895833333333333,24,3.9004166666666666,1.7900000999999999,3.0900002,3.566667,5.3500005,3.8000005,3.4,3.4,1.3211009174311927
20240225,2324,Toulouse,94.97040882344163,0.9891304347826086,23,3.9221739130434785,1.3700001,2.7400002,3.7500003333333334,3.2500005,5.3500005,4.2,4.2,1.2229755178907722
20240218,2324,Toulouse,94.9819127767682,0.8431818181818181,22,3.9095454545454547,0.7200000999999999,1.4400001999999998,1.5833336666666666,2.3750005,3.2500005,6.5,6.5,1.114065180102916
20240211,2324,Toulouse,94.97600958982214,0.5738095238095238,21,3.7861904761904763,0.7200000999999999,1.4400001999999998,2.4000003333333333,2.3750005,2.3750005,0.0,2.15,1.6746268656716417
20240204,2324,Toulouse,95.01788324004494,0.6025,20,3.868,0.24500009999999997,0.49000020000000005,0.8166670000000001,1.2250005000000002,2.3750005,4.75,4.75,1.1666666666666667
20240128,2324,Toulouse,95.08924699841647,0.38421052631578945,19,3.821578947368421,0.24500009999999997,0.49000020000000005,0.8166670000000001,1.2250005000000002,1.2250005000000002,0.0,3.6,1.2857142857142856
20240114,2324,Toulouse,95.1088250480361,0.40555555555555556,18,3.833888888888889,9.999999997489795e-08,1.999999999497959e-07,3.3333333324965984e-07,5.000000000165983e-07,1.2250005000000002,2.45,2.45,1.521311475409836
20231220,2324,Toulouse,95.18267021719454,0.2852941176470588,17,3.915294117647059,0.21000009999999997,1.999999999497959e-07,3.3333333324965984e-07,5.000000000165983e-07,5.000000000165983e-07,0.0,4.33,1.2162162162162162
20231217,2324,Toulouse,95.19711753800934,0.303125,16,3.8893750000000002,0.21000009999999997,1.999999999497959e-07,3.3333333324965984e-07,5.000000000165983e-07,5.000000000165983e-07,0.0,3.2,1.3508771929824563
20231210,2324,Toulouse,95.21102971723309,0.3233333333333333,15,3.9353333333333333,0.21000009999999997,1.999999999497959e-07,3.3333333324965984e-07,5.000000000165983e-07,5.000000000165983e-07,0.0,3.8,1.2727272727272727
20231203,2324,Toulouse,95.20178171188441,0.3464285714285714,14,3.9450000000000003,0.21000009999999997,1.999999999497959e-07,3.3333333324965984e-07,5.000000000165983e-07,5.000000000165983e-07,0.0,2.0,1.793103448275862
20231126,2324,Toulouse,95.2522684169944,0.3730769230769231,13,4.094615384615385,0.21000009999999997,1.999999999497959e-07,3.3333333324965984e-07,5.000000000165983e-07,5.000000000165983e-07,0.0,7.5,1.090909090909091
20231112,2324,Toulouse,95.253449515236,0.4041666666666667,12,3.8108333333333335,0.21000009999999997,0.42000019999999993,3.3333333324965984e-07,5.000000000165983e-07,5.000000000165983e-07,0.0,6.0,1.1321739130434785
20231105,2324,Toulouse,95.25421200026145,0.4409090909090909,11,3.6118181818181823,0.4850001,0.42000019999999993,3.3333333324965984e-07,5.000000000165983e-07,5.000000000165983e-07,0.0,2.2,1.6746268656716417
20231029,2324,Toulouse,95.27115862401641,0.485,10,3.753,0.0,0.42000019999999993,0.7000003333333334,5.000000000165983e-07,5.000000000165983e-07,0.0,4.5,1.2173913043478262
20231022,2324,Toulouse,95.21045508287416,0.5388888888888889,9,3.67,0.0,0.42000019999999993,0.7000003333333334,1.0500005000000001,5.000000000165983e-07,0.0,2.8,1.4237288135593222
20231008,2324,Toulouse,95.31400915924468,0.60625,8,3.77875,0.0,0.42000019999999993,0.7000003333333334,1.0500005000000001,1.0500005000000001,0.0,4.33,1.2214285714285715
20231001,2324,Toulouse,95.3204513176457,0.6928571428571428,7,3.7,0.0,1.999999999497959e-07,3.3333333324965984e-07,5.000000000165983e-07,1.0500005000000001,2.1,2.1,1.7485714285714287
