Div;DateInt;DateStr;HomeTeam;AwayTeam;FTHG;FTAG;FTR;B365H;B365D;B365A
F1;20231126;2023-11-26;Lyon;Lille;0;2;A;3;3.3;2.38
F1;20231129;2023-11-29;Montpellier;Clermont;1;1;D;1.91;3.6;4
F1;20231201;2023-12-01;Reims;Strasbourg;2;1;H;1.73;3.75;4.75
F1;20231202;2023-12-02;Lens;Lyon;3;2;H;1.7;4;4.75
F1;20231202;2023-12-02;Nantes;Nice;1;0;H;3.75;3.5;2
F1;20231203;2023-12-03;Le Havre;Paris SG;0;2;A;11;5.25;1.3
F1;20231203;2023-12-03;Brest;Clermont;3;0;H;1.75;3.6;4.5
F1;20231203;2023-12-03;Monaco;Montpellier;2;0;H;1.62;4.2;5
F1;20231203;2023-12-03;Toulouse;Lorient;1;1;D;2;3.25;4
F1;20231203;2023-12-03;Lille;Metz;2;0;H;1.45;4.5;7.5
F1;20231203;2023-12-03;Marseille;Rennes;2;0;H;1.91;3.8;3.8
F1;20231206;2023-12-06;Marseille;Lyon;3;0;H;1.67;3.8;4.75
F1;20231207;2023-12-07;Brest;Strasbourg;1;1;D;1.83;3.6;4.33
F1;20231208;2023-12-08;Montpellier;Lens;0;0;D;3.5;3.4;2.15
F1;20231209;2023-12-09;Rennes;Monaco;1;2;A;2.55;3.5;2.7
F1;20231209;2023-12-09;Paris SG;Nantes;2;1;H;1.2;7.5;12
F1;20231210;2023-12-10;Nice;Reims;2;1;H;1.85;3.5;4.33
F1;20231210;2023-12-10;Clermont;Lille;0;0;D;5.25;3.5;1.73
F1;20231210;2023-12-10;Metz;Brest;0;1;A;3.5;3.2;2.2
F1;20231210;2023-12-10;Strasbourg;Le Havre;2;1;H;2.15;3.2;3.75
F1;20231210;2023-12-10;Lyon;Toulouse;3;0;H;2;3.5;3.8
F1;20231210;2023-12-10;Lorient;Marseille;2;4;A;4.75;3.6;1.8
F1;20231215;2023-12-15;Monaco;Lyon;0;1;A;1.7;4.2;4.33
F1;20231216;2023-12-16;Le Havre;Nice;3;1;H;4.5;3.3;1.91
F1;20231216;2023-12-16;Lens;Reims;2;0;H;1.83;3.75;4.2
F1;20231217;2023-12-17;Nantes;Brest;0;2;A;2.63;3.2;2.8
F1;20231217;2023-12-17;Lorient;Strasbourg;1;2;A;2.55;3.2;2.88
F1;20231217;2023-12-17;Metz;Montpellier;0;1;A;3.25;3.3;2.25
F1;20231217;2023-12-17;Toulouse;Rennes;0;0;D;3.2;3.5;2.2
F1;20231217;2023-12-17;Marseille;Clermont;2;1;H;1.4;5;7
F1;20231217;2023-12-17;Lille;Paris SG;1;1;D;3.8;4;1.83
F1;20231220;2023-12-20;Brest;Lorient;4;0;H;1.6;3.8;5.75
F1;20231220;2023-12-20;Clermont;Rennes;1;3;A;3.3;3.4;2.2
F1;20231220;2023-12-20;Lyon;Nantes;1;0;H;1.67;4.33;4.5
F1;20231220;2023-12-20;Montpellier;Marseille;1;1;D;3.4;3.6;2.05
F1;20231220;2023-12-20;Nice;Lens;2;0;H;2.3;3.2;3.3
F1;20231220;2023-12-20;Paris SG;Metz;3;1;H;1.14;8;17
F1;20231220;2023-12-20;Reims;Le Havre;1;0;H;1.7;4;4.75
F1;20231220;2023-12-20;Strasbourg;Lille;2;1;H;4;3.4;1.95
F1;20231220;2023-12-20;Toulouse;Monaco;1;2;A;4.33;3.75;1.8
F1;20240112;2024-01-12;Marseille;Strasbourg;1;1;D;1.6;4;5.5
F1;20240113;2024-01-13;Monaco;Reims;1;3;A;1.7;4;4.5
F1;20240113;2024-01-13;Rennes;Nice;2;0;H;2.38;3.25;3.1
F1;20240114;2024-01-14;Lille;Lorient;3;0;H;1.4;5;7
F1;20240114;2024-01-14;Brest;Montpellier;2;0;H;1.83;3.75;4.2
F1;20240114;2024-01-14;Metz;Toulouse;0;1;A;2.9;3.2;2.45
F1;20240114;2024-01-14;Nantes;Clermont;1;2;A;1.95;3.5;3.8
F1;20240114;2024-01-14;Le Havre;Lyon;3;1;H;3.25;3.25;2.25
F1;20240114;2024-01-14;Lens;Paris SG;0;2;A;3.6;4;1.85
F1;20240126;2024-01-26;Lyon;Rennes;2;3;A;2.5;3.4;2.8
F1;20240127;2024-01-27;Nice;Metz;1;0;H;1.4;4.5;9
F1;20240127;2024-01-27;Marseille;Monaco;2;2;D;2.4;3.6;2.75
F1;20240128;2024-01-28;Montpellier;Lille;0;0;D;3.6;3.6;2
F1;20240128;2024-01-28;Clermont;Strasbourg;1;1;D;2.75;3.2;2.63
F1;20240128;2024-01-28;Lorient;Le Havre;3;3;D;2.9;3.1;2.63
F1;20240128;2024-01-28;Reims;Nantes;0;0;D;1.8;3.75;4.33
F1;20240128;2024-01-28;Toulouse;Lens;0;2;A;3.6;3.6;2
F1;20240128;2024-01-28;Paris SG;Brest;2;2;D;1.36;5.5;7.5
F1;20240202;2024-02-02;Strasbourg;Paris SG;1;2;A;6;4.5;1.5
F1;20240203;2024-02-03;Rennes;Montpellier;2;1;H;1.62;4;5.5
F1;20240203;2024-02-03;Nantes;Lens;0;1;A;3.4;3.3;2.2
F1;20240204;2024-02-04;Monaco;Le Havre;1;1;D;1.45;4.5;7
F1;20240204;2024-02-04;Lille;Clermont;4;0;H;1.4;4.5;8.5
F1;20240204;2024-02-04;Metz;Lorient;1;2;A;2.25;3.1;3.5
F1;20240204;2024-02-04;Reims;Toulouse;2;3;A;1.75;3.5;4.75
F1;20240204;2024-02-04;Brest;Nice;0;0;D;2.45;3.25;3
F1;20240204;2024-02-04;Lyon;Marseille;1;0;H;2.9;3.4;2.45
F1;20240209;2024-02-09;Marseille;Metz;1;1;D;1.4;4.75;7
F1;20240210;2024-02-10;Lens;Strasbourg;3;1;H;1.62;3.8;5.75
F1;20240210;2024-02-10;Paris SG;Lille;3;1;H;1.62;4.2;5.25
F1;20240211;2024-02-11;Le Havre;Rennes;0;1;A;3.6;3.3;2.15
F1;20240211;2024-02-11;Clermont;Brest;1;1;D;3.8;3.3;2.05
F1;20240211;2024-02-11;Lorient;Reims;2;0;H;3.75;3.5;2.05
F1;20240211;2024-02-11;Toulouse;Nantes;1;2;A;2.15;3.3;3.4
F1;20240211;2024-02-11;Montpellier;Lyon;1;2;A;3.1;3.4;2.38
F1;20240211;2024-02-11;Nice;Monaco;2;3;A;2.3;3.4;3.1
F1;20240216;2024-02-16;Lyon;Nice;1;0;H;2.63;3.2;2.8
F1;20240217;2024-02-17;Lille;Le Havre;3;0;H;1.53;4.33;6.5
F1;20240217;2024-02-17;Nantes;Paris SG;0;2;A;6;4.5;1.5
F1;20240218;2024-02-18;Strasbourg;Lorient;1;3;A;1.7;3.8;5
F1;20240218;2024-02-18;Monaco;Toulouse;1;2;A;1.5;4.33;6.5
F1;20240218;2024-02-18;Montpellier;Metz;3;0;H;1.75;3.7;4.75
F1;20240218;2024-02-18;Rennes;Clermont;3;1;H;1.53;4.2;6.5
F1;20240218;2024-02-18;Reims;Lens;1;1;D;2.8;3.2;2.63
F1;20240218;2024-02-18;Brest;Marseille;1;0;H;2.55;3;3.1
F1;20240223;2024-02-23;Metz;Lyon;1;2;A;4;3.4;1.91
F1;20240224;2024-02-24;Lorient;Nantes;0;1;A;2.6;3.2;2.8
F1;20240224;2024-02-24;Strasbourg;Brest;0;3;A;3.1;3.1;2.45
F1;20240225;2024-02-25;Lens;Monaco;2;3;A;2.38;3.5;2.9
F1;20240225;2024-02-25;Le Havre;Reims;1;2;A;3.1;3.25;2.38
F1;20240225;2024-02-25;Nice;Clermont;0;0;D;1.44;4.33;7.5
F1;20240225;2024-02-25;Toulouse;Lille;3;1;H;4.2;3.4;1.91
F1;20240225;2024-02-25;Paris SG;Rennes;1;1;D;1.45;4.75;7
F1;20240225;2024-02-25;Marseille;Montpellier;4;1;H;1.7;4;4.75
F1;20240301;2024-03-01;Monaco;Paris SG;0;0;D;3.4;3.8;2
F1;20240302;2024-03-02;Reims;Lille;0;1;A;2.7;3.3;2.63
F1;20240302;2024-03-02;Clermont;Marseille;1;5;A;4.2;3.6;1.85
F1;20240303;2024-03-03;Toulouse;Nice;2;1;H;3.4;3.2;2.25
F1;20240303;2024-03-03;Brest;Le Havre;1;0;H;1.6;4;5.75
F1;20240303;2024-03-03;Montpellier;Strasbourg;2;2;D;2;3.5;3.75
F1;20240303;2024-03-03;Nantes;Metz;0;2;A;1.8;3.5;4.75
F1;20240303;2024-03-03;Rennes;Lorient;1;2;A;1.4;4.75;8
F1;20240303;2024-03-03;Lyon;Lens;0;3;A;2.55;3.4;2.75
